scenario,factor_a,factor_b,state_a,state_b,observations,down_pct,flat_pct,up_pct,outcome_separation,mean_return_5d,median_return_5d
CHOPPY,trend_score,volatility_score,LOW,LOW,356,50.28089887640449,12.640449438202248,37.07865168539326,37.64044943820224,-0.46674101123595496,-0.539
CHOPPY,intelligence_score,volatility_score,LOW,LOW,383,48.56396866840731,10.966057441253264,40.469973890339425,37.59791122715404,-0.27073994778067884,-0.4011
TREND_UP,trend_score,momentum_score,LOW,HIGH,431,36.42691415313225,12.993039443155451,50.580046403712295,37.58700696055685,0.77459373549884,0.5221
CHOPPY,change_pct,volatility_score,HIGH,LOW,362,50.82872928176796,13.259668508287293,35.91160220994475,37.569060773480665,-0.4734149171270718,-0.5596
TREND_DOWN,change_pct,volatility_score,LOW,LOW,1015,41.87192118226601,10.344827586206897,47.783251231527096,37.4384236453202,0.46681970443349763,0.3342
CHOPPY,volatility_score,liquidity_score,LOW,LOW,227,48.01762114537445,11.013215859030836,40.969162995594715,37.00440528634361,-0.2519788546255507,-0.4029
CHOPPY,trend_score,momentum_score,LOW,HIGH,257,51.75097276264592,14.785992217898833,33.46303501945525,36.964980544747085,-0.41447704280155645,-0.6455
TREND_DOWN,relative_strength,momentum_score,HIGH,LOW,454,49.118942731277535,12.334801762114537,38.54625550660793,36.78414096916299,-0.19408546255506615,-0.47655000000000003
TREND_DOWN,intelligence_score,liquidity_score,LOW,LOW,1115,47.98206278026906,11.210762331838566,40.80717488789238,36.771300448430495,-0.21598968609865474,-0.2894
TREND_DOWN,momentum_score,volatility_score,LOW,LOW,1037,42.81581485053037,10.318225650916105,46.86595949855352,36.54773384763742,0.32488630665380897,0.2216
CHOPPY,volatility_score,liquidity_score,LOW,HIGH,531,48.0225988700565,11.487758945386064,40.48964218455744,36.534839924670436,-0.2109638418079095,-0.3092
TREND_DOWN,volatility_score,liquidity_score,LOW,LOW,573,43.80453752181501,9.947643979057592,46.247818499127405,36.30017452006981,0.2916623036649216,0.1272
TREND_DOWN,relative_strength,liquidity_score,LOW,HIGH,1231,38.42404549147035,12.672623883021933,48.90333062550772,36.230706742485786,0.4875489033306255,0.4304
TREND_DOWN,relative_strength,trend_score,LOW,LOW,889,41.95725534308212,10.911136107986502,47.13160854893139,36.22047244094488,0.48982305961754785,0.2723
TREND_UP,change_pct,momentum_score,HIGH,LOW,315,36.507936507936506,13.65079365079365,49.84126984126984,36.1904761904762,0.5650174603174604,0.4936
TREND_UP,trend_score,liquidity_score,LOW,HIGH,860,39.53488372093023,12.209302325581394,48.25581395348838,36.04651162790698,0.3873175581395349,0.3242
TREND_DOWN,intelligence_score,volatility_score,LOW,LOW,1039,46.294513955726664,10.298363811357074,43.407122232916265,35.99615014436959,0.1762293551491818,-0.1491
TREND_DOWN,intelligence_score,relative_strength,HIGH,LOW,778,37.660668380462724,13.239074550128535,49.10025706940874,35.86118251928021,0.26920796915167094,0.39205
CHOPPY,change_pct,volatility_score,LOW,LOW,396,45.45454545454545,9.595959595959595,44.94949494949495,35.858585858585855,0.0054424242424242625,-0.0276
CHOPPY,trend_score,volatility_score,HIGH,LOW,402,46.01990049751244,10.199004975124378,43.78109452736319,35.820895522388064,-0.007614925373134327,-0.0916
TREND_DOWN,volatility_score,liquidity_score,LOW,HIGH,1433,43.68457780879274,10.258199581297976,46.05722260990928,35.7990230286113,0.23755973482205153,0.1627
CHOPPY,intelligence_score,volatility_score,HIGH,LOW,375,47.46666666666667,11.733333333333333,40.8,35.733333333333334,-0.17474026666666673,-0.3092
TREND_DOWN,relative_strength,volatility_score,HIGH,LOW,994,46.478873239436616,10.764587525150905,42.756539235412475,35.714285714285715,0.022303621730382417,-0.0764
CHOPPY,momentum_score,volatility_score,LOW,LOW,398,46.482412060301506,10.804020100502512,42.71356783919598,35.678391959798994,-0.10549949748743725,-0.17455
TREND_DOWN,relative_strength,momentum_score,LOW,LOW,1555,39.67845659163987,12.347266881028938,47.97427652733119,35.62700964630225,0.34443987138263654,0.3512
TREND_DOWN,change_pct,volatility_score,HIGH,LOW,991,45.61049445005045,9.989909182643794,44.39959636730575,35.62058526740665,0.03402986881937429,-0.0122
TREND_DOWN,intelligence_score,trend_score,LOW,LOW,1397,46.743020758768786,11.166785969935576,42.09019327129563,35.57623478883321,0.06480357909806732,-0.195
TREND_DOWN,change_pct,relative_strength,LOW,LOW,1579,39.07536415452818,12.72957568081064,48.19506016466118,35.46548448385054,0.42838245725142493,0.369
TREND_DOWN,momentum_score,liquidity_score,LOW,HIGH,1221,39.72153972153972,12.448812448812449,47.82964782964783,35.380835380835386,0.3872861588861588,0.3102
TREND_UP,change_pct,volatility_score,LOW,LOW,960,46.666666666666664,11.354166666666666,41.979166666666664,35.3125,-0.14616927083333334,-0.22665000000000002
TREND_DOWN,momentum_score,volatility_score,HIGH,LOW,969,44.68524251805985,10.010319917440661,45.30443756449948,35.29411764705882,0.17609752321981414,0.1167
TREND_DOWN,trend_score,liquidity_score,HIGH,HIGH,1491,38.967136150234744,12.877263581488934,48.15560026827633,35.27833668678739,0.38325553319919514,0.3776
TREND_UP,relative_strength,trend_score,LOW,LOW,848,34.55188679245283,15.09433962264151,50.35377358490566,35.259433962264154,0.6469596698113206,0.51435
TREND_DOWN,trend_score,momentum_score,HIGH,LOW,1025,39.51219512195122,12.682926829268293,47.80487804878049,35.12195121951219,0.21348682926829268,0.3084
TREND_UP,relative_strength,momentum_score,LOW,HIGH,417,39.08872901678657,12.949640287769784,47.961630695443645,35.01199040767386,0.36556690647482026,0.3528
