scenario,factor_a,factor_b,state_a,state_b,target_outcome,episodes,total_observations,target_consistency_pct,positive_uplift_pct,positive_return_pct,mean_target_uplift_pct,median_target_uplift_pct,worst_target_uplift_pct,mean_return_5d,median_return_5d,worst_episode_mean_return_5d,best_episode_mean_return_5d,return_positive_minus_negative_balance,decision,research_status
TREND_DOWN,relative_strength,momentum_score,LOW,LOW,UP,8,1600,62.5,62.5,62.5,7.407856814651808,2.9731078145516463,-11.298420438532865,0.4297409555947444,0.35371568604612474,-1.400977372262774,2.4739109375,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,change_pct,volatility_score,HIGH,LOW,DOWN,8,944,62.5,62.5,50.0,0.8327849134319774,3.2565000098067642,-42.36158745712887,0.42935178369531907,-0.03081026702720975,-1.6688280254777068,5.3769307692307695,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,momentum_score,LOW,LOW,UP,8,1978,62.5,62.5,62.5,6.546289004226446,3.2648153767295653,-9.075455282145228,0.408410858970784,0.3773278323412699,-1.5127507772020727,2.234277272727273,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,momentum_score,LOW,LOW,UP,8,1792,62.5,50.0,62.5,6.249410395790349,-0.3157838315090089,-11.674433570778689,0.40047828774928945,0.38433504410463026,-1.7537,3.3021859999999994,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,momentum_score,liquidity_score,LOW,HIGH,UP,8,1453,75.0,50.0,75.0,3.324704073314945,-1.5062413758693438,-8.794084930969056,0.39789776260525894,0.5944858794162826,-1.464096323529412,1.6841948275862066,4.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,volatility_score,LOW,LOW,DOWN,8,1641,50.0,62.5,50.0,3.0306846037763604,6.837773938631731,-26.15688094685542,0.3955872727165699,0.12008914602346807,-1.7519695121951218,3.716175483870968,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,relative_strength,volatility_score,LOW,LOW,UP,8,1276,62.5,75.0,50.0,7.669478728860444,5.090198481502053,-11.767875253549697,0.3898162488967259,0.15910036252795604,-1.0084055172413795,2.4364826923076923,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,liquidity_score,HIGH,LOW,UP,5,159,60.0,80.0,60.0,13.35631721847255,18.177025083879215,-4.3740573152337845,0.38037368283934836,0.8920730769230766,-1.3039382352941178,1.7250333333333332,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,relative_strength,momentum_score,HIGH,HIGH,DOWN,9,1081,55.55555555555556,55.55555555555556,55.55555555555556,-0.24073245086896358,0.8680400430214306,-39.92569002123143,0.3673883422223217,0.0030175438596491,-1.6519625698324023,5.597235,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,volatility_score,LOW,LOW,DOWN,8,1490,50.0,62.5,50.0,2.67165330664223,6.9499950508528485,-24.54558229619176,0.3515331748290983,0.19615870462781443,-1.479083419689119,2.2387988764044944,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,volatility_score,HIGH,HIGH,DOWN,5,302,60.0,60.0,60.0,2.791674331520414,2.426208823396877,-11.640757444902931,0.3348845587550312,0.0406833333333333,-0.3170606557377049,1.400674324324324,1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,liquidity_score,LOW,LOW,DOWN,8,1109,50.0,50.0,62.5,-1.8363245257009435,-4.641040726483041,-31.519784172661872,0.3339917003969338,0.24865746533049898,-1.7559816129032255,3.567045,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_UP,relative_strength,volatility_score,HIGH,LOW,DOWN,9,830,66.66666666666666,66.66666666666666,44.44444444444444,0.12992677040874254,6.977192484071267,-40.16378525932667,0.3181525825948404,-0.3281139240506328,-1.616092307692308,5.831476190476191,-1.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,momentum_score,volatility_score,LOW,LOW,UP,8,1637,62.5,62.5,62.5,5.527360490347948,3.5299395887883342,-12.288708586883025,0.31337622327954484,0.2149045906824268,-1.4173740740740737,2.121205263157895,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,momentum_score,liquidity_score,LOW,LOW,DOWN,8,877,50.0,37.5,50.0,-1.7925193002660347,-5.51277345875774,-24.308245711123412,0.31143668124386104,0.1683305398110662,-1.6508575342465754,2.950171153846154,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,momentum_score,HIGH,LOW,DOWN,8,538,50.0,50.0,62.5,-5.085813830737871,-0.35192215332812893,-24.979250736956597,0.3014592473033915,0.04369920634920629,-1.1601101265822784,2.0719719298245614,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,intelligence_score,volatility_score,HIGH,LOW,DOWN,8,876,50.0,62.5,50.0,-3.9989490795755493,2.4018212003823507,-25.856443719412738,0.27092718722912407,0.010931282051282007,-1.0681870967741938,2.9376144444444448,0.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,momentum_score,volatility_score,HIGH,LOW,DOWN,8,880,50.0,62.5,62.5,1.6435765161900466,4.507469456222012,-22.98288050102193,0.2642812708518125,0.2814711675579322,-2.178715023474178,2.74604367816092,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,intelligence_score,LOW,HIGH,UP,8,553,62.5,50.0,62.5,1.964526232943176,-0.5997007995155457,-14.332733744115735,0.25738157817397467,0.07152839234944425,-1.205532584269663,2.0176545454545454,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
TREND_DOWN,change_pct,intelligence_score,HIGH,LOW,DOWN,8,770,50.0,37.5,62.5,-0.9231123483916788,-6.985982789109935,-27.055498458376157,0.24704722889306935,0.4158790151515151,-2.618979534883721,3.552578571428571,2.0,NOT_ECONOMICALLY_ROBUST,RESEARCH_ONLY
