scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,oos_windows,target_oos_windows,oos_gap_to_target,eligibility_status,research_priority,queue_priority,queue_action,queue_reason
UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_C_REGIME_AWARE,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_34,TREND_DOWN,c95d5d654f98d00f,TRACK_C_SCENARIO_WEAPON,5,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_18,CHOPPY,805568ee4a55f676,TRACK_B_BASELINE_FAILURE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_18,CHOPPY,805568ee4a55f676,TRACK_B_CONDITIONAL_SCORE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_18,CHOPPY,805568ee4a55f676,TRACK_B_FACTOR_AGREEMENT,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_18,CHOPPY,805568ee4a55f676,TRACK_C_FACTOR_INTERACTION,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_18,CHOPPY,805568ee4a55f676,TRACK_C_REGIME_AWARE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_18,CHOPPY,805568ee4a55f676,TRACK_C_SCENARIO_WEAPON,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_22,TREND_DOWN,7dd654042398d311,TRACK_B_BASELINE_FAILURE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_22,TREND_DOWN,7dd654042398d311,TRACK_B_CONDITIONAL_SCORE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_22,TREND_DOWN,7dd654042398d311,TRACK_B_FACTOR_AGREEMENT,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_22,TREND_DOWN,7dd654042398d311,TRACK_C_FACTOR_INTERACTION,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_22,TREND_DOWN,7dd654042398d311,TRACK_C_REGIME_AWARE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_22,TREND_DOWN,7dd654042398d311,TRACK_C_SCENARIO_WEAPON,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_24,TREND_UP,56b9948f187d1544,TRACK_B_BASELINE_FAILURE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_24,TREND_UP,56b9948f187d1544,TRACK_B_CONDITIONAL_SCORE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_24,TREND_UP,56b9948f187d1544,TRACK_B_FACTOR_AGREEMENT,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_24,TREND_UP,56b9948f187d1544,TRACK_C_FACTOR_INTERACTION,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_24,TREND_UP,56b9948f187d1544,TRACK_C_REGIME_AWARE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_24,TREND_UP,56b9948f187d1544,TRACK_C_SCENARIO_WEAPON,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
UNEXPLORED_35,CHOPPY,82ce59f078fed6c1,TRACK_B_BASELINE_FAILURE,4,0,10,10,INSUFFICIENT_SCENARIO_HISTORY,LOW,P3,WAIT_FOR_SCENARIO_HISTORY,Scenario history is insufficient for immediate OOS research.
