scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,candidate_oos_dates,overlap_oos_dates,overlap_pct_of_scenario,current_oos_windows,target_oos_windows,queue_priority,queue_action,research_priority,methodology_min_observations,execution_readiness,readiness_reason
UNEXPLORED_39,HIGH_VOL,60b2829a0cf4b20d,TRACK_C_SCENARIO_WEAPON,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,TRACK_B_BASELINE_FAILURE,2,100,2,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 2 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,TRACK_B_CONDITIONAL_SCORE,2,100,2,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 2 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,TRACK_B_FACTOR_AGREEMENT,2,100,2,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 2 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,TRACK_C_FACTOR_INTERACTION,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,TRACK_C_REGIME_AWARE,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_40,HIGH_VOL,0c9a77d1b82b9eb1,TRACK_C_SCENARIO_WEAPON,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_46,CHOPPY,9e7e6af0fb384ff0,TRACK_B_BASELINE_FAILURE,2,100,2,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 2 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_46,CHOPPY,9e7e6af0fb384ff0,TRACK_B_CONDITIONAL_SCORE,2,100,2,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 2 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_46,CHOPPY,9e7e6af0fb384ff0,TRACK_B_FACTOR_AGREEMENT,2,100,2,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 2 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
