scenario,factor_a,factor_b,state_a,state_b,qualifying_episodes,total_observations,dominant_outcome,dominant_consistency_pct,episodes_with_positive_uplift,episodes_with_positive_mean_return,mean_probability_uplift_pct,median_probability_uplift_pct,mean_return_5d,median_return_5d,min_episode_dominant_probability_pct,max_episode_dominant_probability_pct,decision,repeatability_score
LOW_VOL,change_pct,volatility_score,LOW,HIGH,1,106,UP,100.0,1,1,17.907530171681113,17.907530171681113,0.9542132075471699,0.7284999999999999,57.54716981132076,57.54716981132076,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,momentum_score,liquidity_score,LOW,LOW,2,106,UP,50.0,2,1,9.73229838173065,9.73229838173065,0.06854423782084862,0.1918,47.82608695652174,49.39759036144578,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,relative_strength,HIGH,HIGH,1,105,UP,100.0,1,1,27.619047619047628,27.619047619047628,1.6679361904761905,1.7128,60.952380952380956,60.952380952380956,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,change_pct,liquidity_score,HIGH,LOW,2,104,DOWN,100.0,1,1,3.5279033983065062,3.5279033983065062,-0.0460775630703167,-0.27235,38.2716049382716,52.17391304347826,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,trend_score,liquidity_score,HIGH,HIGH,2,104,UP,50.0,2,1,14.966613568900733,14.966613568900733,0.13835897435897448,0.23230000000000003,50.0,57.692307692307686,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,intelligence_score,relative_strength,HIGH,HIGH,1,100,UP,100.0,1,1,32.66666666666667,32.66666666666667,2.3159300000000003,2.48545,66.0,66.0,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,momentum_score,liquidity_score,HIGH,HIGH,2,100,DOWN,50.0,2,2,3.5097187403413583,3.5097187403413583,0.3736693333333333,0.019750000000000004,48.0,48.0,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,momentum_score,volatility_score,HIGH,HIGH,1,99,DOWN,100.0,1,1,0.1842751842751844,0.1842751842751844,0.1569090909090909,-0.0244,45.45454545454545,45.45454545454545,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,trend_score,LOW,HIGH,1,93,UP,100.0,1,1,44.086021505376344,44.086021505376344,2.719333333333333,2.7284,77.41935483870968,77.41935483870968,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,change_pct,trend_score,HIGH,HIGH,1,92,UP,100.0,1,1,6.012534273403835,6.012534273403835,0.9382358695652174,0.23099999999999998,45.65217391304348,45.65217391304348,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,liquidity_score,HIGH,HIGH,1,84,UP,100.0,1,1,30.95238095238096,30.95238095238096,1.9129083333333337,2.10865,64.28571428571429,64.28571428571429,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,liquidity_score,LOW,HIGH,1,84,UP,100.0,1,1,40.47619047619048,40.47619047619048,2.374364285714286,2.3494,73.80952380952381,73.80952380952381,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,volatility_score,LOW,LOW,1,81,UP,100.0,1,1,46.91358024691358,46.91358024691358,3.3581975308641976,3.0625,80.24691358024691,80.24691358024691,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,change_pct,trend_score,LOW,HIGH,2,80,UP,50.0,2,1,8.57500517729234,8.57500517729234,-0.19672400000000004,0.30305000000000004,44.0,50.90909090909091,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,trend_score,momentum_score,LOW,HIGH,2,80,DOWN,50.0,2,1,7.97138137149552,7.97138137149552,-0.18028821630347064,0.09860000000000002,52.38095238095239,52.54237288135594,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,momentum_score,HIGH,LOW,2,78,UP,50.0,2,1,12.498905838035107,12.498905838035107,-0.046210275689223174,-0.4558,45.614035087719294,57.14285714285714,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,intelligence_score,relative_strength,HIGH,LOW,1,77,UP,100.0,1,1,41.991341991342,41.991341991342,2.6104259740259743,2.3848,75.32467532467533,75.32467532467533,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,volatility_score,liquidity_score,LOW,LOW,1,75,UP,100.0,1,1,37.333333333333336,37.333333333333336,2.5508306666666667,2.4413,70.66666666666667,70.66666666666667,INSUFFICIENT_EPISODES,0.1111111111111111
CHOPPY,relative_strength,momentum_score,HIGH,LOW,2,71,DOWN,50.0,2,1,2.4539782198428064,2.4539782198428064,0.3136183014354067,0.19924999999999998,44.73684210526316,48.484848484848484,INSUFFICIENT_EPISODES,0.1111111111111111
LOW_VOL,relative_strength,liquidity_score,LOW,LOW,1,71,UP,100.0,1,1,8.247684304022329,8.247684304022329,0.3244999999999999,0.3585,47.88732394366197,47.88732394366197,INSUFFICIENT_EPISODES,0.1111111111111111
CHOPPY,change_pct,relative_strength,LOW,HIGH,2,70,DOWN,50.0,2,1,13.379739298602658,13.379739298602658,0.1412189061154177,-0.09314999999999996,55.81395348837209,59.25925925925925,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,change_pct,trend_score,LOW,HIGH,1,69,UP,100.0,1,1,49.275362318840585,49.275362318840585,3.7962739130434775,3.6006,82.6086956521739,82.6086956521739,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,intelligence_score,volatility_score,LOW,LOW,1,67,UP,100.0,1,1,35.32338308457712,35.32338308457712,1.8429597014925374,1.916,68.65671641791045,68.65671641791045,INSUFFICIENT_EPISODES,0.1111111111111111
HIGH_VOL,relative_strength,momentum_score,LOW,HIGH,1,66,UP,100.0,1,1,42.42424242424242,42.42424242424242,2.1769818181818184,2.05595,75.75757575757575,75.75757575757575,INSUFFICIENT_EPISODES,0.1111111111111111
