id_x,trade_date,symbol,sector,change_pct,sector_strength,position_pct,total_score,intelligence_score,created_at,rank,grade,id_y,return_1d,return_5d,return_10d,return_20d,success_1d,success_5d,success_10d,success_20d,strong_win,strong_loss,top10_pick,top20_pick,future_direction
18722,2025-12-17,INFY.NS,IT,0.57,0.3125,82.22,80.51020408163265,79.18367346938774,2026-06-16 15:55:12,17,C,31851,1.5480649188514328,3.8327091136079954,1.735330836454429,-0.13732833957553342,1,1,1,0,0,0,0,1,BEARISH
18726,2025-12-17,BHARTIARTL.NS,TELECOM,0.29,0.29,82.49,76.73469387755102,76.83673469387755,2026-06-16 15:55:12,11,C,27448,-0.7590132827324478,0.7447817836812057,0.11385199240987148,-4.055977229601518,0,1,1,0,0,0,0,1,BEARISH
18775,2025-12-18,HCLTECH.NS,IT,0.39,1.3900000000000001,77.87,77.04081632653062,76.73469387755101,2026-06-16 15:55:12,19,C,29780,-1.1436138196701577,-0.030095100517635726,-1.2760322619477575,2.20296135789093,0,0,0,1,0,0,0,1,BULLISH
18870,2025-12-22,TECHM.NS,IT,2.12,2.06,78.34,80.51020408163265,75.71428571428572,2026-06-16 15:55:12,9,C,37034,-0.831966964231496,-2.5566284083318234,-2.726665452116359,1.9311349972672591,0,0,0,1,0,0,1,1,BULLISH
19116,2025-12-30,BHARTIARTL.NS,TELECOM,0.87,0.87,79.87,77.14285714285714,75.0,2026-06-16 15:55:13,16,C,27456,0.2762167825507061,0.26192970759119916,-3.471759215163353,-6.767311172492624,1,1,0,0,0,1,0,1,BEARISH
19163,2025-12-31,JSWSTEEL.NS,METALS,4.79,1.94,79.79,87.44897959183673,80.0,2026-06-16 15:55:13,1,A,32637,0.5752060439560479,2.146291208791209,1.459478021978022,6.241414835164839,1,1,1,1,1,0,1,1,BULLISH
19406,2026-01-07,INFY.NS,IT,1.66,1.5699999999999998,81.01,86.22448979591837,78.46938775510203,2026-06-16 15:55:13,13,C,31865,-1.5680292861500942,-2.3917022574740723,0.9395973154362471,-7.248322147651004,0,0,1,0,0,1,0,1,BEARISH
19455,2026-01-08,BEL.NS,POWER,0.0,0.0,75.73,94.28571428571429,84.89795918367346,2026-06-16 15:55:13,1,B,27204,0.7217610970768675,0.4691447130999749,0.3969686033922854,3.3682184530253823,1,1,1,1,0,0,1,1,BULLISH
19507,2026-01-09,HCLTECH.NS,IT,0.89,0.3325,77.87,83.9795918367347,80.0,2026-06-16 15:55:13,18,C,29795,0.37317924641867206,2.20296135789093,2.7446731672083726,-3.57529794149513,1,1,1,0,0,0,0,1,BEARISH
19657,2026-01-14,BEL.NS,POWER,0.94,0.94,78.58,83.06122448979592,78.9795918367347,2026-06-16 15:55:13,10,B,27208,0.0,-3.5799808429118882,6.441570881226048,6.2978927203065025,0,0,1,1,1,0,1,1,BULLISH
19855,2026-01-20,TATACONSUM.NS,FMCG,0.41,-1.6057142857142856,83.35,73.6734693877551,76.3265306122449,2026-06-16 15:55:13,10,C,36277,-1.8059071729957883,-4.489451476793253,-2.70042194092827,-1.2911392405063253,0,0,0,0,0,0,1,1,BEARISH
19901,2026-01-21,JSWSTEEL.NS,METALS,1.26,0.655,84.17,75.40816326530611,78.57142857142857,2026-06-16 15:55:13,2,B,32652,0.8343265792610405,5.355014473012097,5.550825813042742,4.580282649412582,1,1,1,1,0,0,1,1,BULLISH
20239,2026-02-02,BPCL.NS,ENERGY,0.6,-0.30200000000000005,77.18,84.6938775510204,81.42857142857143,2026-06-16 15:55:14,3,B,27738,1.840741750749932,5.890373602399788,2.086173984183265,2.208890100899924,1,1,1,1,0,0,1,1,BULLISH
20339,2026-02-04,POWERGRID.NS,ENERGY,2.19,2.4539999999999997,77.1,92.04081632653062,83.26530612244898,2026-06-16 15:55:14,2,B,34733,-0.017277125086369912,1.7449896337249522,3.8527988942640063,3.472702142363515,0,1,1,1,0,0,1,1,BULLISH
20437,2026-02-06,POWERGRID.NS,ENERGY,1.18,0.43999999999999995,84.41,87.14285714285714,83.06122448979593,2026-06-16 15:55:14,2,B,34735,-1.0247651579846286,-1.8958155422715666,2.1178479931682284,0.8368915456874428,0,0,1,1,0,0,1,1,BULLISH
